iter	Passed	Remaining
0	64	64496
1	65	32552
2	65	21898
3	66	16568
4	67	13370
5	68	11306
6	69	9859
7	70	8709
8	70	7805
9	71	7082
10	72	6490
11	73	6035
12	74	5677
13	76	5362
14	77	5081
15	78	4815
16	79	4590
17	80	4374
18	81	4188
19	83	4108
20	84	3943
21	85	3789
22	85	3648
23	86	3534
24	88	3442
25	89	3338
26	89	3239
27	90	3150
28	91	3069
29	92	2994
30	93	2922
31	94	2858
32	95	2797
33	96	2746
34	102	2825
35	103	2763
36	111	2908
37	112	2858
38	122	3007
39	126	3046
40	131	3084
41	136	3120
42	137	3061
43	138	3002
44	138	2947
45	139	2893
46	140	2842
47	140	2793
48	154	2999
49	155	2949
50	155	2900
51	156	2854
52	159	2848
53	162	2842
54	163	2805
55	164	2773
56	165	2742
57	166	2702
58	167	2664
59	167	2627
60	168	2591
61	169	2556
62	180	2682
63	181	2647
64	181	2614
65	182	2581
66	183	2549
67	183	2518
68	184	2488
69	186	2484
70	187	2458
71	191	2466
72	192	2448
73	194	2429
74	195	2406
75	195	2379
76	196	2354
77	197	2333
78	198	2309
79	199	2293
80	201	2285
81	202	2262
82	202	2242
83	205	2245
84	209	2250
85	210	2233
86	211	2219
87	212	2203
88	213	2189
89	215	2180
90	216	2160
91	216	2141
92	219	2145
93	222	2142
94	223	2126
95	223	2108
96	224	2090
97	225	2072
98	225	2055
99	226	2039
100	227	2025
101	229	2018
102	229	2002
103	230	1986
104	231	1971
105	232	1957
106	233	1952
107	236	1952
108	237	1938
109	238	1932
110	239	1918
111	240	1904
112	241	1898
113	243	1890
114	243	1877
115	244	1863
116	245	1849
117	245	1836
118	250	1853
119	251	1843
120	252	1831
121	252	1818
122	254	1811
123	255	1803
124	257	1802
125	258	1790
126	258	1779
127	259	1767
128	260	1756
129	260	1745
130	262	1740
131	263	1730
132	263	1719
133	264	1709
134	265	1698
135	266	1692
136	267	1682
137	267	1672
138	278	1725
139	279	1716
140	281	1717
141	282	1707
142	283	1696
143	284	1688
144	284	1678
145	285	1669
146	286	1659
147	291	1680
148	292	1670
149	293	1661
150	293	1652
151	301	1684
152	310	1718
153	312	1717
154	313	1707
155	314	1703
156	316	1701
157	324	1728
158	325	1722
159	327	1719
160	328	1710
161	329	1705
162	331	1701
163	337	1719
164	338	1712
165	339	1705
166	340	1700
167	342	1693
168	343	1687
169	344	1681
170	346	1681
171	348	1676
172	349	1670
173	350	1662
174	351	1655
175	351	1647
176	354	1646
177	354	1637
178	359	1648
179	360	1643
180	361	1635
181	362	1628
182	362	1620
183	363	1613
184	364	1606
185	365	1599
186	368	1600
187	370	1601
188	372	1596
189	373	1591
190	375	1589
191	376	1583
192	376	1576
193	377	1567
194	377	1560
195	379	1555
196	381	1553
197	381	1546
198	382	1539
199	383	1534
200	385	1532
201	387	1532
202	389	1528
203	390	1522
204	390	1515
205	391	1508
206	392	1502
207	392	1496
208	395	1496
209	396	1490
210	397	1484
211	402	1496
212	403	1491
213	404	1485
214	405	1479
215	406	1474
216	407	1470
217	410	1470
218	410	1464
219	411	1458
220	412	1453
221	413	1449
222	414	1444
223	416	1441
224	416	1435
225	417	1429
226	418	1423
227	418	1417
228	419	1411
229	420	1406
230	420	1400
231	421	1396
232	423	1394
233	433	1419
234	434	1415
235	435	1409
236	436	1404
237	436	1398
238	437	1392
239	438	1387
240	438	1381
241	439	1377
242	443	1380
243	443	1375
244	444	1369
245	445	1364
246	447	1365
247	450	1365
248	451	1361
249	452	1356
250	452	1350
251	453	1347
252	455	1345
253	456	1340
254	456	1334
255	463	1346
256	464	1341
257	464	1336
258	465	1331
259	469	1335
260	470	1331
261	471	1326
262	471	1321
263	472	1316
264	473	1312
265	474	1308
266	474	1303
267	475	1299
268	476	1294
269	477	1289
270	479	1290
271	482	1291
272	483	1287
273	485	1285
274	485	1280
275	486	1277
276	487	1273
277	488	1269
278	489	1264
279	489	1259
280	490	1255
281	491	1252
282	493	1249
283	494	1247
284	495	1243
285	496	1238
286	496	1234
287	497	1229
288	498	1227
289	499	1223
290	500	1218
291	501	1215
292	502	1211
293	502	1207
294	506	1210
295	509	1211
296	510	1207
297	510	1203
298	511	1198
299	512	1194
300	512	1190
301	513	1186
302	514	1182
303	549	1257
304	575	1312
305	583	1323
306	609	1375
307	623	1401
308	624	1396
309	625	1391
310	626	1387
311	627	1382
312	628	1379
313	629	1376
314	630	1371
315	631	1367
316	638	1375
317	640	1372
318	645	1377
319	645	1372
320	650	1375
321	651	1371
322	651	1366
323	652	1361
324	653	1357
325	655	1355
326	657	1352
327	658	1348
328	659	1344
329	660	1340
330	665	1344
331	667	1343
332	668	1339
333	671	1338
334	671	1333
335	672	1329
336	673	1325
337	674	1320
338	674	1316
339	676	1312
340	677	1308
341	680	1309
342	681	1304
343	681	1300
344	682	1296
345	684	1293
346	685	1289
347	686	1285
348	687	1281
349	688	1278
350	689	1274
351	690	1270
352	690	1266
353	695	1268
354	695	1264
355	696	1260
356	697	1256
357	698	1253
358	699	1249
359	700	1245
360	701	1241
361	702	1237
362	703	1233
363	703	1230
364	704	1226
365	705	1222
366	706	1218
367	707	1215
368	709	1213
369	710	1210
370	711	1206
371	712	1202
372	713	1199
373	714	1195
374	715	1192
375	716	1188
376	717	1184
377	717	1181
378	718	1177
379	724	1182
380	725	1179
381	727	1177
382	728	1173
383	729	1169
384	730	1166
385	730	1162
386	740	1172
387	741	1169
388	741	1165
389	742	1161
390	754	1175
391	757	1174
392	761	1176
393	762	1172
394	762	1168
395	763	1164
396	765	1162
397	767	1160
398	767	1156
399	768	1152
400	771	1152
401	773	1151
402	774	1147
403	775	1143
404	776	1140
405	777	1137
406	779	1136
407	781	1134
408	782	1130
409	783	1127
410	786	1126
411	788	1124
412	788	1121
413	791	1120
414	792	1117
415	795	1116
416	795	1112
417	796	1108
418	797	1105
419	797	1101
420	800	1100
421	802	1099
422	803	1095
423	803	1092
424	805	1090
425	807	1087
426	809	1086
427	810	1083
428	811	1079
429	811	1076
430	812	1072
431	817	1075
432	818	1071
433	828	1080
434	832	1080
435	833	1077
436	834	1074
437	835	1071
438	835	1068
439	836	1064
440	838	1063
441	839	1059
442	840	1056
443	840	1052
444	841	1049
445	842	1045
446	842	1042
447	843	1039
448	855	1050
449	857	1047
450	908	1105
451	936	1135
452	939	1134
453	941	1132
454	945	1132
455	948	1131
456	949	1127
457	949	1123
458	950	1120
459	952	1118
460	954	1116
461	955	1112
462	955	1108
463	956	1105
464	960	1105
465	966	1107
466	967	1104
467	968	1101
468	970	1098
469	971	1095
470	975	1095
471	976	1092
472	978	1090
473	980	1088
474	982	1086
475	984	1083
476	985	1080
477	985	1076
478	986	1073
479	987	1069
480	987	1065
481	988	1062
482	993	1063
483	995	1060
484	996	1057
485	997	1054
486	1000	1053
487	1001	1050
488	1002	1048
489	1005	1047
490	1008	1045
491	1008	1041
492	1009	1038
493	1015	1040
494	1019	1039
495	1020	1036
496	1020	1033
497	1021	1029
498	1022	1026
499	1023	1023
500	1024	1020
501	1027	1019
502	1028	1016
503	1043	1026
504	1045	1024
505	1046	1021
506	1047	1018
507	1050	1017
508	1053	1016
509	1054	1013
510	1057	1012
511	1058	1008
512	1059	1005
513	1060	1002
514	1060	999
515	1062	996
516	1065	995
517	1067	993
518	1068	990
519	1074	992
520	1090	1002
521	1094	1001
522	1099	1002
523	1100	999
524	1102	997
525	1111	1001
526	1150	1033
527	1151	1029
528	1152	1025
529	1153	1022
530	1156	1021
531	1157	1018
532	1158	1014
533	1158	1011
534	1161	1009
535	1164	1008
536	1165	1004
537	1166	1001
538	1167	998
539	1172	998
540	1177	999
541	1179	997
542	1181	994
543	1182	991
544	1187	991
545	1189	989
546	1190	986
547	1191	983
548	1192	980
549	1193	976
550	1194	973
551	1195	970
552	1196	967
553	1197	963
554	1198	960
555	1199	957
556	1201	955
557	1202	952
558	1203	949
559	1204	946
560	1205	943
561	1205	939
562	1206	936
563	1207	933
564	1208	930
565	1210	927
566	1211	924
567	1211	921
568	1212	918
569	1214	916
570	1215	913
571	1217	910
572	1218	907
573	1219	905
574	1220	902
575	1221	899
576	1222	896
577	1223	893
578	1224	890
579	1225	887
580	1226	884
581	1226	881
582	1227	878
583	1229	875
584	1230	873
585	1231	870
586	1232	867
587	1233	863
588	1234	861
589	1235	858
590	1236	855
591	1237	852
592	1238	849
593	1239	847
594	1240	844
595	1241	841
596	1242	838
597	1243	835
598	1245	833
599	1245	830
600	1246	827
601	1247	824
602	1248	821
603	1248	818
604	1249	815
605	1250	812
606	1250	809
607	1261	813
608	1262	810
609	1263	807
610	1263	804
611	1264	801
612	1265	798
613	1265	795
614	1266	792
615	1271	792
616	1273	790
617	1274	787
618	1275	784
619	1275	782
620	1276	779
621	1277	776
622	1279	774
623	1280	771
624	1282	769
625	1283	766
626	1283	763
627	1284	760
628	1285	758
629	1291	758
630	1294	757
631	1296	754
632	1303	755
633	1305	753
634	1306	750
635	1307	748
636	1308	745
637	1309	743
638	1313	742
639	1314	739
640	1316	737
641	1317	734
642	1318	732
643	1320	729
644	1321	727
645	1322	724
646	1323	722
647	1324	719
648	1328	718
649	1330	716
650	1331	713
651	1332	711
652	1333	708
653	1334	706
654	1335	703
655	1336	700
656	1370	715
657	1384	719
658	1385	716
659	1385	713
660	1386	711
661	1388	708
662	1396	709
663	1397	707
664	1425	718
665	1429	717
666	1432	715
667	1445	718
668	1449	717
669	1450	714
670	1451	711
671	1463	714
672	1466	712
673	1468	710
674	1471	708
675	1472	705
676	1480	706
677	1481	703
678	1493	706
679	1496	704
680	1499	702
681	1500	699
682	1508	699
683	1509	697
684	1512	695
685	1514	693
686	1516	690
687	1521	689
688	1522	687
689	1524	684
690	1525	682
691	1526	679
692	1527	676
693	1530	674
694	1534	673
695	1548	676
696	1555	676
697	1571	679
698	1581	680
699	1581	677
700	1588	677
701	1592	675
702	1594	673
703	1606	675
704	1607	672
705	1608	670
706	1610	667
707	1612	664
708	1613	662
709	1613	659
710	1614	656
711	1615	653
712	1616	650
713	1617	647
714	1620	645
715	1621	643
716	1622	640
717	1624	637
718	1625	635
719	1626	632
720	1626	629
721	1627	626
722	1628	623
723	1637	624
724	1640	622
725	1641	619
726	1642	616
727	1643	613
728	1644	611
729	1645	608
730	1646	605
731	1647	603
732	1649	600
733	1653	599
734	1655	597
735	1662	596
736	1663	593
737	1664	590
738	1689	596
739	1690	593
740	1691	591
741	1694	589
742	1695	586
743	1697	583
744	1698	581
745	1699	578
746	1701	576
747	1703	573
748	1704	571
749	1705	568
750	1705	565
751	1706	562
752	1707	560
753	1709	557
754	1711	555
755	1714	553
756	1715	550
757	1716	547
758	1717	545
759	1718	542
760	1719	540
761	1720	537
762	1720	534
763	1721	531
764	1726	530
765	1728	528
766	1736	527
767	1737	524
768	1739	522
769	1739	519
770	1740	516
771	1741	514
772	1741	511
773	1742	508
774	1746	506
775	1746	504
776	1747	501
777	1748	498
778	1748	496
779	1749	493
780	1750	490
781	1751	488
782	1752	485
783	1753	482
784	1753	480
785	1754	477
786	1755	475
787	1756	472
788	1757	470
789	1759	467
790	1760	465
791	1761	462
792	1762	460
793	1763	457
794	1764	454
795	1765	452
796	1765	449
797	1766	447
798	1767	444
799	1767	441
800	1768	439
801	1769	436
802	1770	434
803	1771	431
804	1772	429
805	1774	427
806	1775	424
807	1775	421
808	1776	419
809	1777	416
810	1778	414
811	1779	411
812	1779	409
813	1780	406
814	1781	404
815	1781	401
816	1782	399
817	1783	396
818	1784	394
819	1785	391
820	1785	389
821	1786	386
822	1789	384
823	1789	382
824	1790	379
825	1791	377
826	1791	374
827	1792	372
828	1793	369
829	1793	367
830	1794	364
831	1795	362
832	1795	360
833	1796	357
834	1797	355
835	1798	352
836	1799	350
837	1800	348
838	1803	346
839	1804	343
840	1805	341
841	1806	338
842	1814	337
843	1815	335
844	1815	333
845	1832	333
846	1834	331
847	1837	329
848	1838	326
849	1839	324
850	1839	322
851	1840	319
852	1854	319
853	1856	317
854	1857	315
855	1859	312
856	1860	310
857	1861	308
858	1862	305
859	1863	303
860	1867	301
861	1868	299
862	1869	296
863	1870	294
864	1873	292
865	1875	290
866	1876	287
867	1888	287
868	1889	284
869	1891	282
870	1892	280
871	1897	278
872	1898	276
873	1900	273
874	1901	271
875	1902	269
876	1903	267
877	1905	264
878	1906	262
879	1907	260
880	1909	257
881	1910	255
882	1911	253
883	1912	251
884	1937	251
885	1939	249
886	1967	250
887	1969	248
888	1978	246
889	1979	244
890	1982	242
891	1984	240
892	1985	237
893	1994	236
894	2010	235
895	2012	233
896	2014	231
897	2015	228
898	2017	226
899	2021	224
900	2022	222
901	2023	219
902	2024	217
903	2027	215
904	2029	212
905	2030	210
906	2030	208
907	2039	206
908	2039	204
909	2062	203
910	2078	203
911	2078	200
912	2079	198
913	2092	196
914	2094	194
915	2097	192
916	2098	189
917	2098	187
918	2099	185
919	2101	182
920	2102	180
921	2103	177
922	2104	175
923	2105	173
924	2107	170
925	2108	168
926	2116	166
927	2117	164
928	2118	161
929	2119	159
930	2120	157
931	2121	154
932	2121	152
933	2122	150
934	2123	147
935	2124	145
936	2125	142
937	2127	140
938	2128	138
939	2129	135
940	2130	133
941	2130	131
942	2131	128
943	2132	126
944	2133	124
945	2134	121
946	2135	119
947	2136	117
948	2137	114
949	2137	112
950	2138	110
951	2139	107
952	2140	105
953	2141	103
954	2141	100
955	2142	98
956	2146	96
957	2148	94
958	2149	91
959	2150	89
960	2151	87
961	2152	85
962	2154	82
963	2155	80
964	2156	78
965	2157	75
966	2163	73
967	2164	71
968	2167	69
969	2168	67
970	2169	64
971	2169	62
972	2170	60
973	2177	58
974	2182	55
975	2182	53
976	2183	51
977	2184	49
978	2186	46
979	2187	44
980	2188	42
981	2190	40
982	2191	37
983	2192	35
984	2194	33
985	2195	31
986	2197	28
987	2199	26
988	2199	24
989	2200	22
990	2201	19
991	2201	17
992	2202	15
993	2203	13
994	2203	11
995	2207	8
996	2208	6
997	2208	4
998	2209	2
999	2210	0
